Store_Region,Store_State,Product_Category,Regional_Revenue,Regional_Units,Regional_Transactions,Regional_Brands,Regional_Stores,Regional_Cities,Avg_Regional_Transaction,Avg_Regional_TDP,Regional_Total_Revenue,Category_Penetration,Revenue_Per_Store,Units_Per_Store
NORTHEAST,VT,BEER,173063.49999999994,146211,12712,29,19,1,13.614183448709875,63.09260698552549,2492561.4399999995,6.9431989608248115,9108.605263157891,7695.315789473684
SOUTHEAST,DE,BEER,109347.32,113109,8669,29,16,5,12.613602491636868,68.16471103933556,3240994.84,3.3738813357691124,6834.2075,7069.3125
SOUTHEAST,GA,HARD SELTZER,8313.300000000001,5772,3074,10,41,6,2.7043916720884846,37.79208523096942,3240994.84,0.2565045737622958,202.76341463414636,140.78048780487805
SOUTHEAST,NC,BEER,337860.7900000001,338452,24805,29,39,7,13.62067284821609,57.636722838137494,3240994.84,10.424601293101723,8663.097179487182,8678.25641025641
SOUTHEAST,TN,HARD SELTZER,4846.319999999998,3283,1843,10,24,2,2.6295822029300044,34.14748779164407,3240994.84,0.149531864111206,201.92999999999992,136.79166666666666
SOUTHEAST,GA,BEER,440808.20999999985,460513,29649,29,41,6,14.86755742183547,78.60129953792716,3240994.84,13.601015483258216,10751.419756097557,11232.024390243903
SOUTHEAST,KY,BEER,191117.59000000003,186012,11888,29,14,1,16.076513290713326,64.91488728129202,3240994.84,5.896880415891068,13651.25642857143,13286.57142857143
SOUTHEAST,DC,HARD SELTZER,1822.6100000000001,1161,689,10,10,4,2.6452975326560235,28.456806966618284,3240994.84,0.0562361277934031,182.26100000000002,116.1
SOUTHEAST,AL,HARD SELTZER,1808.2699999999995,1130,672,10,12,1,2.6908779761904755,25.532261904761906,3240994.84,0.05579367105687832,150.68916666666664,94.16666666666667
SOUTHEAST,AR,BEER,116263.00000000004,113102,9159,29,16,4,12.693853040724974,67.27871820067693,3240994.84,3.5872627307237566,7266.437500000003,7068.875
SOUTHEAST,FL,HARD SELTZER,9865.950000000004,6469,3890,10,51,9,2.536233933161955,30.952408740359907,3240994.84,0.30441116037074606,193.45000000000007,126.84313725490196
SOUTHEAST,DC,BEER,74498.89000000001,71636,5833,29,10,4,12.771968112463572,60.033538487913574,3240994.84,2.2986426599802923,7449.889000000001,7163.6
SOUTHEAST,TN,BEER,261362.46000000008,260524,17437,29,24,2,14.988957962952346,69.85402248093138,3240994.84,8.064266464552597,10890.102500000003,10855.166666666666
SOUTHEAST,LA,BEER,58989.32000000003,56181,5560,29,11,1,10.60958992805756,63.569739208633095,3240994.84,1.8200991643664584,5362.665454545458,5107.363636363636
SOUTHEAST,WV,BEER,118675.26,120717,7424,29,8,4,15.985352909482758,73.19647090517243,3240994.84,3.661692346292041,14834.4075,15089.625
SOUTHEAST,VA,HARD SELTZER,2944.34,2069,1196,10,20,2,2.4618227424749164,37.82458193979934,3240994.84,0.09084679690511326,147.217,103.45
SOUTHEAST,MS,HARD SELTZER,4241.9,2810,1569,10,20,5,2.703569152326322,33.44628425748884,3240994.84,0.1308826520686469,212.09499999999997,140.5
SOUTHEAST,LA,HARD SELTZER,1335.06,841,564,10,11,1,2.367127659574468,30.683315602836878,3240994.84,0.04119290729879718,121.3690909090909,76.45454545454545
SOUTHEAST,SC,HARD SELTZER,3624.2999999999997,2391,1182,10,13,1,3.0662436548223346,32.83824027072757,3240994.84,0.11182677476894717,278.79230769230765,183.92307692307693
SOUTHEAST,NC,HARD SELTZER,6952.51,4560,2672,10,39,7,2.601987275449102,26.689161676646712,3240994.84,0.21451777442508982,178.2694871794872,116.92307692307692
SOUTHEAST,MS,BEER,198032.14999999997,197098,14344,29,20,5,13.805922336865587,71.25427704963748,3240994.84,6.110227253555268,9901.607499999998,9854.9
SOUTHEAST,DE,HARD SELTZER,2132.7700000000004,1423,881,10,16,5,2.420851305334847,32.148933030646994,3240994.84,0.06580602886735853,133.29812500000003,88.9375
SOUTHEAST,KY,HARD SELTZER,3429.840000000001,2251,1218,10,14,1,2.8159605911330057,31.687635467980297,3240994.84,0.10582676521632478,244.9885714285715,160.78571428571428
SOUTHEAST,FL,BEER,537939.7500000001,525825,37341,29,51,9,14.406142042259182,64.09607053908567,3240994.84,16.597982303483093,10547.83823529412,10310.29411764706
SOUTHEAST,AL,BEER,79071.69000000002,75535,6394,29,12,1,12.366545198623712,54.593497028464206,3240994.84,2.4397351400905043,6589.307500000002,6294.583333333333
SOUTHEAST,AR,HARD SELTZER,2349.7300000000005,1507,921,10,16,4,2.55128121606949,32.13043431053203,3240994.84,0.07250026970113907,146.85812500000003,94.1875
SOUTHEAST,VA,BEER,149459.02999999994,157922,11534,29,20,2,12.958126408878094,77.49739899427779,3240994.84,4.6115170612243235,7472.951499999997,7896.1
SOUTHEAST,MD,HARD SELTZER,5838.730000000001,4097,2218,10,30,5,2.632430117222724,36.24719567177639,3240994.84,0.18015240036605554,194.62433333333337,136.56666666666666
SOUTHEAST,WV,HARD SELTZER,2323.8999999999996,1573,817,10,8,4,2.844430844553243,34.767637698898405,3240994.84,0.07170329219036954,290.48749999999995,196.625
SOUTHEAST,MD,BEER,299462.62999999983,315630,20589,29,30,5,14.544787507892556,75.1304584972558,3240994.84,9.239836679283323,9982.08766666666,10521.0
SOUTHEAST,SC,BEER,206277.22000000006,202864,12151,29,13,1,16.976151757057035,67.19619784379886,3240994.84,6.36462660952586,15867.478461538467,15604.923076923076
SOUTHWEST,TX,HARD SELTZER,12303.649999999998,7975,4304,10,58,14,2.8586547397769513,34.494093866171,801816.1399999999,1.5344727283738637,212.1318965517241,137.5
SOUTHWEST,TX,BEER,645603.9599999998,627325,44604,29,58,14,14.47412698412698,71.43333848982152,801816.1399999999,80.51770571742294,11131.102758620687,10815.948275862069
SOUTHWEST,OK,BEER,141122.68000000002,143053,10806,29,18,2,13.059659448454564,70.42671941513971,801816.1399999999,17.600379059468676,7840.14888888889,7947.388888888889
SOUTHWEST,OK,HARD SELTZER,2785.85,1870,1061,10,18,2,2.625683317624882,34.08212064090481,801816.1399999999,0.3474424947345161,154.76944444444445,103.88888888888889
WEST,OR,HARD SELTZER,2443.55,1349,716,10,10,1,3.412779329608939,30.244175977653633,1798823.7899999996,0.135841543434335,244.35500000000002,134.9
WEST,NV,HARD SELTZER,10025.05,5460,1908,10,14,1,5.254219077568134,28.32174004192872,1798823.7899999996,0.5573113973548238,716.0749999999999,390.0
WEST,CO,HARD SELTZER,2611.640000000001,1416,815,10,14,1,3.2044662576687126,30.113533742331295,1798823.7899999996,0.14518598289163173,186.54571428571435,101.14285714285714
WEST,NM,HARD SELTZER,1555.8099999999997,835,505,10,8,1,3.080811881188118,28.719881188118812,1798823.7899999996,0.08649040604471882,194.47624999999996,104.375
WEST,WY,BEER,95328.99,76586,8140,29,14,5,11.711178132678134,56.828406633906624,1798823.7899999996,5.29951797001751,6809.213571428571,5470.428571428572
WEST,AK,HARD SELTZER,6882.499999999998,3999,1589,10,13,1,4.331340465701698,30.588584015103844,1798823.7899999996,0.3826111283529333,529.4230769230768,307.61538461538464
WEST,NV,BEER,217956.86999999988,177134,13899,29,14,1,15.681478523634786,59.48763724008922,1798823.7899999996,12.116632613581341,15568.347857142848,12652.42857142857
WEST,WA,BEER,202007.70999999988,172564,16675,29,23,2,12.114405397301342,68.51186326836584,1798823.7899999996,11.22998879173151,8782.943913043473,7502.782608695652
WEST,ID,HARD SELTZER,2286.28,1198,704,10,11,1,3.2475568181818186,25.03738636363636,1798823.7899999996,0.12709860814104537,207.8436363636364,108.9090909090909
WEST,AK,BEER,163577.12000000002,140947,11612,29,13,1,14.086903203582503,63.32537805718223,1798823.7899999996,9.093559964536608,12582.855384615386,10842.076923076924
WEST,WY,HARD SELTZER,4313.010000000001,2281,1084,10,14,5,3.97879151291513,27.298274907749075,1798823.7899999996,0.23976834329059002,308.0721428571429,162.92857142857142
WEST,MT,BEER,117023.27999999997,99593,10519,29,19,5,11.1249434356878,66.11521912729347,1798823.7899999996,6.5055443813093,6159.119999999998,5241.736842105263
WEST,HI,BEER,79687.40999999997,72295,6868,29,11,1,11.602709668025623,78.47152300524169,1798823.7899999996,4.429973099255041,7244.309999999998,6572.272727272727
WEST,CA,BEER,361695.2799999996,310901,28589,29,42,8,12.651554094232035,70.16462870334747,1798823.7899999996,20.10732135135925,8611.792380952373,7402.4047619047615
WEST,WA,HARD SELTZER,9263.71,5337,2316,10,23,2,3.999874784110535,33.15052677029362,1798823.7899999996,0.5149870738589688,402.77,232.04347826086956
WEST,HI,HARD SELTZER,3687.0699999999997,2202,988,10,11,1,3.7318522267206475,37.34774291497975,1798823.7899999996,0.20497116062713405,335.1881818181818,200.1818181818182
WEST,CO,BEER,56167.74999999999,45952,6373,29,14,1,8.81339243684293,62.48415032166955,1798823.7899999996,3.1224709341875005,4011.982142857142,3282.285714285714
WEST,AZ,HARD SELTZER,9284.600000000002,5307,2360,10,27,2,3.9341525423728823,33.20840254237287,1798823.7899999996,0.5161483882754299,343.87407407407414,196.55555555555554
WEST,UT,BEER,98928.31999999999,81234,6384,29,7,1,15.496290726817042,63.57838502506268,1798823.7899999996,5.499611498911743,14132.617142857142,11604.857142857143
WEST,CA,HARD SELTZER,16521.050000000003,9449,3949,10,42,8,4.183603443909852,33.2413015953406,1798823.7899999996,0.9184362632873566,393.3583333333334,224.97619047619048
WEST,OR,BEER,52575.21,43269,5328,29,10,1,9.867719594594595,61.81723536036039,1798823.7899999996,2.922754874172529,5257.521,4326.9
WEST,MT,HARD SELTZER,5300.799999999997,3008,1425,10,19,5,3.7198596491228053,31.86030877192982,1798823.7899999996,0.294681448481399,278.9894736842104,158.31578947368422
WEST,AZ,BEER,195069.76,167077,16714,29,27,2,11.67103984683499,68.3856413784851,1798823.7899999996,10.84429509351775,7224.805925925926,6188.037037037037
WEST,UT,HARD SELTZER,3822.7200000000003,2135,844,10,7,1,4.529289099526067,29.89090047393365,1798823.7899999996,0.21251219943005098,546.1028571428571,305.0
WEST,ID,BEER,48508.51999999999,38556,5330,29,11,1,9.101035647279549,52.35599812382738,1798823.7899999996,2.696679923273641,4409.865454545454,3505.090909090909
WEST,NM,BEER,32299.78,26254,3553,29,8,1,9.090847171404446,61.88817337461299,1798823.7899999996,1.795605560675846,4037.4725,3281.75
