Date,Year_Month,SKU,Product_Name,Brand,Category,Months_From_Start,Months_Since_Launch,Lifecycle_Stage,Stores_Carrying,Total_Eligible_Stores,TDP_Percentage,Weighted_TDP,Weighted_TDP_Percentage,Northeast_TDP,Southeast_TDP,Midwest_TDP,West_TDP,Southwest_TDP,Grocery_TDP,Convenience_TDP,BigBox_TDP,Liquor_TDP,GasStation_TDP,Distribution_Velocity,Market_Penetration_Rate
2023-03-01,2023-03,BEER-1009,Miller Lite,Miller,Beer,1.94,1.94,Launch,403,1165,34.59,1439.76,42.50,23.55,29.27,34.82,24.62,34.07,33.93,23.12,18.09,42.86,17.95,8.50,82.21
2023-03-01,2023-03,BEER-1016,Heineken Original,Heineken,Beer,1.94,0.07,Launch,195,1165,16.74,661.42,19.52,13.65,14.51,13.37,14.02,15.38,14.77,13.37,13.57,17.51,6.84,8.50,93.49
2023-03-01,2023-03,BEER-1017,Heineken Light,Heineken,Beer,1.94,0.53,Launch,192,1165,16.48,687.86,20.30,13.31,13.21,15.32,14.39,9.89,17.96,10.31,8.04,18.43,7.69,8.50,78.13
2023-03-01,2023-03,BEER-1032,Guinness Draught,Guinness,Beer,1.94,1.31,Launch,397,1165,34.08,1338.55,39.51,27.30,30.83,31.75,20.83,31.87,35.33,23.40,20.10,34.10,18.80,8.50,90.84
2023-03-01,2023-03,BEER-1033,Guinness Extra Stout,Guinness,Beer,1.94,0.43,Launch,189,1165,16.22,689.80,20.36,12.97,12.69,17.83,9.85,13.19,18.56,8.08,9.05,18.89,6.84,8.50,83.43
2023-03-01,2023-03,BEER-1036,Modelo Especial,Modelo,Beer,1.94,1.51,Launch,378,1165,32.45,1347.74,39.78,24.91,25.91,31.20,26.52,25.27,30.54,23.96,20.10,37.33,15.38,8.50,86.55
2023-03-01,2023-03,BEER-1038,Modelo Chelada,Modelo,Beer,1.94,1.94,Launch,375,1165,32.19,1348.71,39.81,26.62,27.20,30.08,22.35,27.47,34.33,20.33,25.13,27.65,17.09,8.50,75.25
2023-03-01,2023-03,BEER-1039,Modelo Light,Modelo,Beer,1.94,0.20,Launch,194,1165,16.65,657.70,19.41,11.26,16.58,15.32,11.36,13.19,18.76,8.08,11.06,18.89,6.84,8.50,85.18
2023-03-01,2023-03,BEER-1042,Dos Equis Lime & Salt,Dos Equis,Beer,1.94,1.58,Launch,414,1165,35.54,1460.52,43.11,27.65,31.87,33.70,23.48,29.67,35.73,24.23,26.63,38.25,10.26,8.50,87.72
2023-03-01,2023-03,BEER-1048,New Belgium Fat Tire,New Belgium,Beer,1.94,1.71,Launch,397,1165,34.08,1370.04,40.44,25.60,30.57,30.36,26.52,27.47,36.73,20.61,21.61,36.41,14.53,8.50,91.59
2023-03-01,2023-03,BEER-1057,Lagunitas Little Sumpin',Lagunitas,Beer,1.94,1.05,Launch,438,1165,37.60,1556.08,45.93,31.06,28.24,38.16,27.27,31.87,37.52,24.51,24.12,41.47,20.51,8.50,85.98
2023-03-01,2023-03,BEER-1060,60 Minute IPA,Dogfish Head,Beer,1.94,0.62,Launch,180,1165,15.45,641.68,18.94,10.92,16.06,12.81,10.23,14.29,16.97,7.80,12.06,15.67,7.69,8.50,88.51
2023-03-01,2023-03,BEER-1068,Belgian White,Shock Top,Beer,1.94,0.46,Launch,202,1165,17.34,740.07,21.84,13.99,13.99,15.60,14.39,14.29,15.97,12.81,14.07,17.51,8.55,8.50,76.15
2023-03-01,2023-03,BEER-1069,Pure Gold,Michelob Ultra,Beer,1.94,0.82,Launch,199,1165,17.08,731.29,21.58,15.36,15.54,15.32,10.98,10.99,15.57,11.98,12.56,19.82,8.55,8.50,81.27
2023-04-01,2023-04,BEER-1005,Coors Light,Coors,Beer,2.96,1.08,Launch,370,1165,31.76,1329.21,39.23,24.91,25.39,30.92,25.00,24.18,28.34,22.01,21.11,40.55,16.24,8.50,89.26
2023-04-01,2023-04,BEER-1009,Miller Lite,Miller,Beer,2.96,2.96,Launch,394,1165,33.82,1472.54,43.46,25.60,29.02,34.26,23.48,24.18,33.33,21.17,26.13,37.33,15.38,8.50,93.21
2023-04-01,2023-04,BEER-1016,Heineken Original,Heineken,Beer,2.96,1.08,Launch,405,1165,34.76,1430.04,42.21,21.84,33.68,35.10,23.86,24.18,36.13,24.23,21.61,32.26,20.51,8.50,78.98
2023-04-01,2023-04,BEER-1017,Heineken Light,Heineken,Beer,2.96,1.54,Launch,397,1165,34.08,1399.06,41.29,27.30,31.61,30.92,21.59,29.67,35.53,20.89,17.59,39.17,20.51,8.50,79.63
2023-04-01,2023-04,BEER-1024,Blue Moon Belgian White,Blue Moon,Beer,2.96,0.36,Launch,194,1165,16.65,697.61,20.59,14.33,12.44,17.27,12.50,9.89,15.97,10.03,11.06,21.20,8.55,8.50,78.21
2023-04-01,2023-04,BEER-1032,Guinness Draught,Guinness,Beer,2.96,2.33,Launch,376,1165,32.27,1350.66,39.87,23.21,30.31,31.48,20.08,27.47,28.94,22.01,26.63,35.02,19.66,8.50,91.42
2023-04-01,2023-04,BEER-1033,Guinness Extra Stout,Guinness,Beer,2.96,1.45,Launch,396,1165,33.99,1356.29,40.03,23.21,32.38,31.48,24.62,27.47,32.53,22.01,25.13,39.63,15.38,8.50,83.19
2023-04-01,2023-04,BEER-1036,Modelo Especial,Modelo,Beer,2.96,2.53,Launch,384,1165,32.96,1364.15,40.26,26.28,29.79,31.20,22.73,21.98,34.73,22.28,20.60,29.95,20.51,8.50,83.36
2023-04-01,2023-04,BEER-1038,Modelo Chelada,Modelo,Beer,2.96,2.96,Launch,395,1165,33.91,1331.44,39.30,26.62,26.17,29.81,27.65,39.56,31.54,26.46,25.63,30.88,20.51,8.50,87.79
2023-04-01,2023-04,BEER-1039,Modelo Light,Modelo,Beer,2.96,1.22,Launch,377,1165,32.36,1310.97,38.69,26.62,25.65,31.20,22.35,31.87,34.33,18.94,20.60,34.56,17.95,8.50,85.16
2023-04-01,2023-04,BEER-1042,Dos Equis Lime & Salt,Dos Equis,Beer,2.96,2.60,Launch,391,1165,33.56,1457.37,43.02,25.60,30.57,33.43,22.73,19.78,32.53,19.22,24.62,38.71,22.22,8.50,87.50
2023-04-01,2023-04,BEER-1048,New Belgium Fat Tire,New Belgium,Beer,2.96,2.73,Launch,384,1165,32.96,1357.44,40.07,24.91,28.24,31.48,24.24,27.47,32.14,23.12,19.10,35.02,22.22,8.50,76.92
2023-04-01,2023-04,BEER-1052,Sierra Nevada Pale Ale,Sierra Nevada,Beer,2.96,0.03,Launch,181,1165,15.54,659.35,19.46,12.97,13.73,13.37,13.26,7.69,13.97,12.26,10.05,18.43,5.98,8.50,89.91
2023-04-01,2023-04,BEER-1057,Lagunitas Little Sumpin',Lagunitas,Beer,2.96,2.07,Launch,379,1165,32.53,1358.75,40.10,29.01,25.91,32.87,21.21,21.98,30.94,19.22,23.12,41.94,15.38,8.50,90.82
2023-04-01,2023-04,BEER-1060,60 Minute IPA,Dogfish Head,Beer,2.96,1.64,Launch,378,1165,32.45,1335.02,39.40,21.16,27.72,31.75,25.76,29.67,31.54,22.01,22.61,34.10,18.80,8.50,87.58
2023-04-01,2023-04,BEER-1068,Belgian White,Shock Top,Beer,2.96,1.48,Launch,404,1165,34.68,1431.88,42.26,25.26,30.83,35.65,22.73,25.27,35.73,22.84,27.64,33.18,13.68,8.50,92.95
2023-04-01,2023-04,BEER-1069,Pure Gold,Michelob Ultra,Beer,2.96,1.84,Launch,362,1165,31.07,1218.54,35.97,28.67,26.42,28.41,20.83,20.88,29.94,21.17,25.13,30.88,16.24,8.50,94.89
2023-04-01,2023-04,BEER-1071,Original,Tecate,Beer,2.96,0.30,Launch,213,1165,18.28,730.28,21.55,16.38,16.84,16.99,10.23,13.19,16.17,14.21,12.06,20.74,10.26,8.50,85.06
2023-05-01,2023-05,BEER-1005,Coors Light,Coors,Beer,3.94,2.07,Launch,386,1165,33.13,1372.16,40.50,25.26,29.02,31.48,20.83,35.16,33.93,19.22,25.13,35.48,17.09,8.50,85.89
2023-05-01,2023-05,BEER-1009,Miller Lite,Miller,Beer,3.94,3.94,Growth,818,1165,70.21,2765.68,81.63,57.68,59.59,66.57,43.56,71.43,69.66,45.13,49.75,74.65,39.32,8.50,84.45
2023-05-01,2023-05,BEER-1014,Corona Premier,Corona,Beer,3.94,0.13,Launch,197,1165,16.91,707.89,20.89,17.41,13.21,17.27,8.71,10.99,16.77,11.42,13.07,14.75,11.97,8.50,77.73
2023-05-01,2023-05,BEER-1016,Heineken Original,Heineken,Beer,3.94,2.07,Launch,390,1165,33.48,1347.08,39.76,26.62,27.98,33.43,20.08,34.07,34.33,19.78,22.11,40.09,13.68,8.50,79.84
2023-05-01,2023-05,BEER-1017,Heineken Light,Heineken,Beer,3.94,2.53,Launch,383,1165,32.88,1337.24,39.47,24.91,28.24,32.03,22.35,29.67,30.34,21.45,22.11,39.17,21.37,8.50,86.33
2023-05-01,2023-05,BEER-1024,Blue Moon Belgian White,Blue Moon,Beer,3.94,1.35,Launch,395,1165,33.91,1409.84,41.61,26.62,26.17,33.98,24.62,31.87,32.14,24.79,24.62,36.87,13.68,8.50,88.01
2023-05-01,2023-05,BEER-1032,Guinness Draught,Guinness,Beer,3.94,3.32,Growth,852,1165,73.13,2894.13,85.42,56.31,62.18,67.97,53.41,68.13,72.26,50.70,45.73,76.50,43.59,8.50,78.84
2023-05-01,2023-05,BEER-1033,Guinness Extra Stout,Guinness,Beer,3.94,2.43,Launch,415,1165,35.62,1500.66,44.29,27.30,29.79,34.26,25.00,34.07,35.33,21.73,27.14,39.63,17.09,8.50,90.22
2023-05-01,2023-05,BEER-1036,Modelo Especial,Modelo,Beer,3.94,3.52,Growth,847,1165,72.70,2829.67,83.52,57.00,62.69,68.80,50.00,64.84,74.25,46.80,48.24,74.19,42.74,8.50,93.08
2023-05-01,2023-05,BEER-1038,Modelo Chelada,Modelo,Beer,3.94,3.94,Growth,823,1165,70.64,2836.16,83.71,57.00,60.88,67.97,48.48,53.85,69.06,44.57,54.77,73.27,41.88,8.50,79.93
2023-05-01,2023-05,BEER-1039,Modelo Light,Modelo,Beer,3.94,2.20,Launch,444,1165,38.11,1572.30,46.41,32.76,32.90,33.70,23.86,40.66,38.92,23.40,29.15,38.25,20.51,8.50,79.23
2023-05-01,2023-05,BEER-1042,Dos Equis Lime & Salt,Dos Equis,Beer,3.94,3.58,Growth,836,1165,71.76,2819.04,83.21,60.07,60.36,66.85,46.59,70.33,69.66,45.96,52.76,76.50,43.59,8.50,92.50
2023-05-01,2023-05,BEER-1048,New Belgium Fat Tire,New Belgium,Beer,3.94,3.71,Growth,839,1165,72.02,2856.02,84.30,58.70,61.14,67.69,50.38,60.44,71.66,46.80,49.75,76.04,41.03,8.50,93.10
2023-05-01,2023-05,BEER-1052,Sierra Nevada Pale Ale,Sierra Nevada,Beer,3.94,1.02,Launch,399,1165,34.25,1459.27,43.07,24.91,30.31,34.82,21.59,29.67,33.93,20.61,21.61,41.94,17.95,8.50,82.36
2023-05-01,2023-05,BEER-1057,Lagunitas Little Sumpin',Lagunitas,Beer,3.94,3.06,Growth,852,1165,73.13,2868.96,84.68,55.29,62.95,69.92,53.03,61.54,73.45,45.40,53.77,76.50,41.03,8.50,77.72
2023-05-01,2023-05,BEER-1060,60 Minute IPA,Dogfish Head,Beer,3.94,2.63,Launch,376,1165,32.27,1340.28,39.56,26.96,29.27,27.86,23.11,25.27,30.74,19.78,21.11,39.63,19.66,8.50,85.82
2023-05-01,2023-05,BEER-1068,Belgian White,Shock Top,Beer,3.94,2.46,Launch,404,1165,34.68,1508.75,44.53,28.33,31.35,33.70,21.97,23.08,35.73,20.89,20.60,40.09,18.80,8.50,76.46
2023-05-01,2023-05,BEER-1069,Pure Gold,Michelob Ultra,Beer,3.94,2.83,Launch,391,1165,33.56,1392.27,41.09,26.28,29.79,31.75,20.45,34.07,34.13,23.12,23.62,34.56,12.82,8.50,89.19
2023-05-01,2023-05,BEER-1071,Original,Tecate,Beer,3.94,1.28,Launch,374,1165,32.10,1347.87,39.78,23.89,25.13,32.31,24.62,28.57,32.73,20.61,23.12,33.18,15.38,8.50,84.54
2023-06-01,2023-06,BEER-1001,Budweiser Light,Budweiser,Beer,4.96,0.36,Launch,181,1165,15.54,649.32,19.16,13.65,12.95,13.37,11.74,13.19,16.17,9.75,11.56,16.13,5.98,8.50,93.68
2023-06-01,2023-06,BEER-1004,Coors Original,Coors,Beer,4.96,0.85,Launch,207,1165,17.77,726.63,21.45,12.97,15.28,15.60,14.77,16.48,19.96,11.14,10.55,17.05,7.69,8.50,82.95
2023-06-01,2023-06,BEER-1005,Coors Light,Coors,Beer,4.96,3.09,Growth,842,1165,72.27,2832.48,83.60,58.02,61.66,67.97,47.73,70.33,73.45,46.24,50.25,77.88,33.33,8.50,83.77
2023-06-01,2023-06,BEER-1006,Coors Banquet,Coors,Beer,4.96,0.13,Launch,221,1165,18.97,787.59,23.25,18.09,14.51,18.66,10.98,17.58,17.76,12.81,17.09,17.97,11.11,8.50,90.54
2023-06-01,2023-06,BEER-1009,Miller Lite,Miller,Beer,4.96,4.96,Growth,825,1165,70.82,2803.28,82.74,55.29,62.18,66.57,48.86,60.44,70.66,47.35,47.24,74.65,38.46,8.50,88.18
2023-06-01,2023-06,BEER-1014,Corona Premier,Corona,Beer,4.96,1.15,Launch,386,1165,33.13,1372.89,40.52,25.26,29.27,33.15,22.73,21.98,32.93,20.06,26.13,34.56,18.80,8.50,86.76
2023-06-01,2023-06,BEER-1015,Corona Familiar,Corona,Beer,4.96,0.59,Launch,208,1165,17.85,796.09,23.50,14.68,16.32,15.88,10.98,17.58,20.16,8.64,16.58,17.05,5.13,8.50,84.21
2023-06-01,2023-06,BEER-1016,Heineken Original,Heineken,Beer,4.96,3.09,Growth,834,1165,71.59,2823.42,83.34,59.39,59.59,66.30,52.27,59.34,70.46,47.91,50.25,73.73,41.88,8.50,89.32
2023-06-01,2023-06,BEER-1017,Heineken Light,Heineken,Beer,4.96,3.55,Growth,855,1165,73.39,2867.22,84.63,59.04,64.51,68.80,48.11,64.84,72.26,49.30,48.74,78.34,41.88,8.50,85.06
2023-06-01,2023-06,BEER-1023,Stella Artois Unfiltered,Stella Artois,Beer,4.96,0.10,Launch,187,1165,16.05,723.43,21.35,11.26,12.95,18.94,7.95,16.48,15.97,10.58,11.56,17.51,6.84,8.50,81.69
2023-06-01,2023-06,BEER-1024,Blue Moon Belgian White,Blue Moon,Beer,4.96,2.37,Launch,400,1165,34.33,1498.39,44.23,28.67,32.64,31.20,20.45,26.37,34.33,20.61,26.63,36.87,17.95,8.50,75.06
2023-06-01,2023-06,BEER-1031,Sam Adams IPA,Sam Adams,Beer,4.96,0.16,Launch,177,1165,15.19,582.44,17.19,12.29,11.92,16.99,8.33,13.19,16.17,9.47,10.55,15.21,6.84,8.50,78.80
2023-06-01,2023-06,BEER-1032,Guinness Draught,Guinness,Beer,4.96,4.34,Growth,856,1165,73.48,2824.63,83.37,57.00,64.77,68.25,51.14,64.84,73.45,45.96,53.77,76.04,43.59,8.50,89.78
2023-06-01,2023-06,BEER-1033,Guinness Extra Stout,Guinness,Beer,4.96,3.45,Growth,846,1165,72.62,2845.18,83.98,58.70,62.95,65.74,54.55,56.04,72.26,47.08,48.24,79.72,39.32,8.50,80.04
2023-06-01,2023-06,BEER-1036,Modelo Especial,Modelo,Beer,4.96,4.53,Growth,836,1165,71.76,2813.04,83.03,63.14,60.10,68.52,45.45,58.24,69.26,48.19,50.25,78.34,39.32,8.50,90.02
2023-06-01,2023-06,BEER-1037,Modelo Negra,Modelo,Beer,4.96,0.30,Launch,192,1165,16.48,704.87,20.80,12.63,14.25,16.16,11.74,12.09,16.57,9.47,13.07,15.21,13.68,8.50,94.23
2023-06-01,2023-06,BEER-1038,Modelo Chelada,Modelo,Beer,4.96,4.96,Growth,848,1165,72.79,2881.14,85.04,59.04,64.25,68.80,46.97,61.54,74.65,46.24,50.25,77.42,34.19,8.50,87.57
2023-06-01,2023-06,BEER-1039,Modelo Light,Modelo,Beer,4.96,3.22,Growth,829,1165,71.16,2824.42,83.36,55.29,61.14,68.52,50.00,58.24,71.66,45.68,51.76,71.89,40.17,8.50,76.40
2023-06-01,2023-06,BEER-1041,Dos Equis Amber,Dos Equis,Beer,4.96,0.26,Launch,210,1165,18.03,753.39,22.24,13.99,12.44,20.89,13.64,10.99,17.96,10.86,13.57,21.66,5.98,8.50,75.88
2023-06-01,2023-06,BEER-1042,Dos Equis Lime & Salt,Dos Equis,Beer,4.96,4.60,Growth,817,1165,70.13,2776.31,81.94,57.68,63.47,63.51,45.08,61.54,68.66,45.96,47.74,76.96,39.32,8.50,80.38
2023-06-01,2023-06,BEER-1048,New Belgium Fat Tire,New Belgium,Beer,4.96,4.73,Growth,850,1165,72.96,2851.66,84.17,57.34,61.66,69.92,51.52,62.64,74.25,47.08,47.74,75.58,42.74,8.50,86.16
2023-06-01,2023-06,BEER-1049,New Belgium Voodoo Ranger IPA,New Belgium,Beer,4.96,0.99,Launch,189,1165,16.22,645.05,19.04,12.97,10.88,16.99,14.39,10.99,17.17,10.03,10.55,17.51,6.84,8.50,80.78
2023-06-01,2023-06,BEER-1052,Sierra Nevada Pale Ale,Sierra Nevada,Beer,4.96,2.04,Launch,400,1165,34.33,1403.02,41.41,25.94,32.64,32.31,23.11,23.08,34.53,20.89,25.13,38.71,15.38,8.50,79.36
2023-06-01,2023-06,BEER-1053,Sierra Nevada Torpedo IPA,Sierra Nevada,Beer,4.96,0.53,Launch,183,1165,15.71,678.15,20.02,12.29,12.18,17.55,11.74,6.59,16.77,9.75,10.55,16.13,6.84,8.50,81.78
2023-06-01,2023-06,BEER-1057,Lagunitas Little Sumpin',Lagunitas,Beer,4.96,4.07,Growth,840,1165,72.10,2851.12,84.15,57.00,62.18,67.69,51.14,60.44,71.26,49.86,48.74,76.96,34.19,8.50,90.52
2023-06-01,2023-06,BEER-1060,60 Minute IPA,Dogfish Head,Beer,4.96,3.65,Growth,843,1165,72.36,2854.61,84.26,59.73,62.44,67.13,50.38,58.24,71.66,44.57,51.76,77.42,45.30,8.50,76.03
2023-06-01,2023-06,BEER-1063,Two Hearted IPA,Bell's,Beer,4.96,0.23,Launch,195,1165,16.74,630.28,18.60,13.65,13.99,17.83,10.61,9.89,13.97,14.76,8.54,20.28,9.40,8.50,82.43
2023-06-01,2023-06,BEER-1068,Belgian White,Shock Top,Beer,4.96,3.48,Growth,849,1165,72.88,2842.20,83.89,57.00,64.51,68.52,50.00,60.44,71.26,50.97,51.26,72.35,42.74,8.50,78.70
2023-06-01,2023-06,BEER-1069,Pure Gold,Michelob Ultra,Beer,4.96,3.84,Growth,839,1165,72.02,2835.51,83.69,56.31,61.66,68.80,51.52,58.24,71.46,46.80,51.26,74.65,41.88,8.50,84.62
2023-06-01,2023-06,BEER-1071,Original,Tecate,Beer,4.96,2.30,Launch,389,1165,33.39,1416.17,41.80,20.14,30.05,35.10,22.73,30.77,34.93,18.11,26.63,34.56,17.95,8.50,85.76
2023-07-01,2023-07,BEER-1000,Budweiser Original,Budweiser,Beer,5.95,0.30,Launch,204,1165,17.51,682.19,20.14,10.58,13.99,20.06,15.15,7.69,18.96,10.03,11.56,18.43,8.55,8.50,86.03
2023-07-01,2023-07,BEER-1001,Budweiser Light,Budweiser,Beer,5.95,1.35,Launch,394,1165,33.82,1398.13,41.27,26.28,28.50,30.36,25.38,34.07,33.33,21.17,21.61,35.94,25.64,8.50,86.62
2023-07-01,2023-07,BEER-1004,Coors Original,Coors,Beer,5.95,1.84,Launch,409,1165,35.11,1418.13,41.86,28.67,31.09,33.43,21.21,31.87,36.73,20.61,24.12,40.09,13.68,8.50,77.54
2023-07-01,2023-07,BEER-1005,Coors Light,Coors,Beer,5.95,4.07,Growth,841,1165,72.19,2845.33,83.98,53.92,62.95,66.02,54.92,63.74,72.46,43.73,55.78,73.73,42.74,8.50,80.89
2023-07-01,2023-07,BEER-1006,Coors Banquet,Coors,Beer,5.95,1.12,Launch,386,1165,33.13,1405.28,41.48,26.28,28.50,31.75,22.35,28.57,33.93,20.06,23.12,34.10,20.51,8.50,75.51
2023-07-01,2023-07,BEER-1009,Miller Lite,Miller,Beer,5.95,5.95,Growth,838,1165,71.93,2853.41,84.22,57.68,61.40,67.41,50.76,61.54,70.26,47.08,52.76,76.96,38.46,8.50,81.06
2023-07-01,2023-07,BEER-1014,Corona Premier,Corona,Beer,5.95,2.14,Launch,388,1165,33.30,1370.37,40.45,29.69,29.79,31.75,18.94,24.18,32.14,23.68,24.12,33.64,17.95,8.50,84.91
2023-07-01,2023-07,BEER-1015,Corona Familiar,Corona,Beer,5.95,1.58,Launch,418,1165,35.88,1450.42,42.81,28.67,30.05,35.10,23.48,32.97,35.93,22.28,24.12,39.17,21.37,8.50,88.20
2023-07-01,2023-07,BEER-1016,Heineken Original,Heineken,Beer,5.95,4.07,Growth,843,1165,72.36,2839.83,83.82,55.97,61.92,70.47,46.97,69.23,75.45,45.13,51.76,71.89,37.61,8.50,90.02
2023-07-01,2023-07,BEER-1017,Heineken Light,Heineken,Beer,5.95,4.53,Growth,816,1165,70.04,2807.36,82.86,58.36,59.84,64.62,46.97,63.74,69.26,43.73,54.27,71.89,41.03,8.50,78.51
2023-07-01,2023-07,BEER-1018,Heineken 0.0,Heineken,Beer,5.95,0.30,Launch,189,1165,16.22,724.27,21.38,16.38,12.44,14.76,10.23,14.29,17.37,8.91,14.07,15.21,7.69,8.50,90.45
2023-07-01,2023-07,BEER-1019,Heineken Silver,Heineken,Beer,5.95,0.72,Launch,180,1165,15.45,579.57,17.11,10.58,13.73,14.21,12.12,14.29,16.97,9.47,10.55,14.29,7.69,8.50,89.39
2023-07-01,2023-07,BEER-1020,Stella Artois Original,Stella Artois,Beer,5.95,0.30,Launch,193,1165,16.57,698.22,20.61,11.26,16.06,13.65,13.64,14.29,13.97,12.53,8.54,23.04,9.40,8.50,86.89
2023-07-01,2023-07,BEER-1023,Stella Artois Unfiltered,Stella Artois,Beer,5.95,1.08,Launch,398,1165,34.16,1475.40,43.55,25.94,27.98,33.15,24.24,34.07,32.73,19.78,25.63,40.09,21.37,8.50,84.33
2023-07-01,2023-07,BEER-1024,Blue Moon Belgian White,Blue Moon,Beer,5.95,3.35,Growth,841,1165,72.19,2830.72,83.55,57.00,65.03,65.46,48.11,67.03,73.05,46.52,53.27,72.35,38.46,8.50,82.87
2023-07-01,2023-07,BEER-1029,Sam Adams Light,Sam Adams,Beer,5.95,0.59,Launch,195,1165,16.74,658.13,19.42,10.58,16.32,14.48,14.39,12.09,16.17,12.26,13.07,16.59,6.84,8.50,78.82
2023-07-01,2023-07,BEER-1031,Sam Adams IPA,Sam Adams,Beer,5.95,1.15,Launch,394,1165,33.82,1367.61,40.37,26.62,27.72,32.03,25.38,29.67,33.73,21.17,21.11,35.48,25.64,8.50,93.49
2023-07-01,2023-07,BEER-1032,Guinness Draught,Guinness,Beer,5.95,5.32,Growth,861,1165,73.91,2869.57,84.70,58.36,62.69,68.52,53.41,67.03,74.25,50.70,45.73,75.58,44.44,8.50,84.28
2023-07-01,2023-07,BEER-1033,Guinness Extra Stout,Guinness,Beer,5.95,4.43,Growth,836,1165,71.76,2847.94,84.06,53.24,62.69,67.13,52.27,64.84,71.86,44.85,53.27,76.04,37.61,8.50,77.18
2023-07-01,2023-07,BEER-1036,Modelo Especial,Modelo,Beer,5.95,5.52,Growth,843,1165,72.36,2863.40,84.52,57.34,62.44,68.52,49.62,62.64,72.65,45.96,48.24,77.88,41.88,8.50,89.98
2023-07-01,2023-07,BEER-1037,Modelo Negra,Modelo,Beer,5.95,1.28,Launch,415,1165,35.62,1472.10,43.45,27.30,35.75,33.43,22.35,19.78,35.73,21.17,25.13,40.09,19.66,8.50,79.80
2023-07-01,2023-07,BEER-1038,Modelo Chelada,Modelo,Beer,5.95,5.95,Growth,806,1165,69.18,2818.70,83.20,53.58,57.25,67.41,48.48,63.74,69.46,41.50,51.26,73.73,40.17,8.50,92.69
2023-07-01,2023-07,BEER-1039,Modelo Light,Modelo,Beer,5.95,4.20,Growth,853,1165,73.22,2866.54,84.61,57.34,63.73,68.52,49.62,68.13,73.05,46.24,54.27,77.42,38.46,8.50,82.28
2023-07-01,2023-07,BEER-1041,Dos Equis Amber,Dos Equis,Beer,5.95,1.25,Launch,411,1165,35.28,1471.80,43.44,25.26,32.38,34.54,25.00,24.18,36.93,19.78,24.62,38.71,18.80,8.50,87.98
2023-07-01,2023-07,BEER-1042,Dos Equis Lime & Salt,Dos Equis,Beer,5.95,5.58,Growth,841,1165,72.19,2849.54,84.11,58.36,60.88,69.36,49.24,61.54,73.45,45.68,48.24,74.65,43.59,8.50,76.51
2023-07-01,2023-07,BEER-1047,Yuengling Flight,Yuengling,Beer,5.95,0.85,Launch,185,1165,15.88,647.60,19.11,14.68,9.59,16.71,13.26,10.99,15.37,12.26,10.05,16.13,7.69,8.50,94.87
