SKU,Brand,Product_Name,Category,ABV,Package_Size,Pack_Size,Price_Per_Unit,Launch_Date
BEER-1072,Pacifico,Clara,Beer,4.40,12oz Can,24,1.23,2023-09-13
BEER-1073,Negra Modelo,Munich Dunkel,Beer,5.40,16oz Can,24,1.19,2023-07-16
SELT-1074,White Claw,White Claw Black Cherry,Hard Seltzer,4.90,12oz Can,24,1.30,2024-09-21
SELT-1075,White Claw,White Claw Mango,Hard Seltzer,4.90,16oz Can,12,1.63,2023-07-09
SELT-1076,White Claw,White Claw Natural Lime,Hard Seltzer,4.80,12oz Can,6,1.47,2024-02-26
SELT-1077,White Claw,White Claw Raspberry,Hard Seltzer,5.00,16oz Can,6,1.37,2024-03-06
SELT-1078,White Claw,White Claw Watermelon,Hard Seltzer,4.70,12oz Can,12,1.37,2023-07-04
SELT-1079,White Claw,White Claw Tangerine,Hard Seltzer,5.00,12oz Can,4,1.15,2023-10-26
SELT-1080,Truly,Truly Wild Berry,Hard Seltzer,4.70,12oz Can,6,1.15,2024-07-07
SELT-1081,Truly,Truly Colima Lime,Hard Seltzer,4.90,12oz Can,6,1.43,2023-09-02
SELT-1082,Truly,Truly Grapefruit,Hard Seltzer,4.80,12oz Can,12,1.40,2023-11-22
SELT-1083,Truly,Truly Lemon,Hard Seltzer,4.60,12oz Can,24,1.22,2024-02-08
SELT-1084,Truly,Truly Black Cherry,Hard Seltzer,4.70,16oz Can,12,1.62,2024-02-23
SELT-1085,Truly,Truly Mango,Hard Seltzer,4.70,12oz Can,12,1.53,2023-12-23
SELT-1086,Bud Light Seltzer,Bud Light Seltzer Black Cherry,Hard Seltzer,4.90,12oz Can,12,1.16,2024-04-06
SELT-1087,Bud Light Seltzer,Bud Light Seltzer Strawberry,Hard Seltzer,4.80,12oz Can,4,1.61,2023-08-31
SELT-1088,Bud Light Seltzer,Bud Light Seltzer Lemon Lime,Hard Seltzer,5.00,12oz Can,6,1.64,2024-02-01
SELT-1089,Bud Light Seltzer,Bud Light Seltzer Mango,Hard Seltzer,4.90,12oz Can,24,1.65,2024-10-02
SELT-1090,Bud Light Seltzer,Bud Light Seltzer Pineapple,Hard Seltzer,4.70,12oz Can,12,1.13,2023-10-12
SELT-1091,Corona Hard Seltzer,Corona Hard Seltzer Tropical Lime,Hard Seltzer,5.00,12oz Can,6,1.51,2023-10-06
SELT-1092,Corona Hard Seltzer,Corona Hard Seltzer Mango,Hard Seltzer,4.60,12oz Can,12,1.40,2024-11-21
SELT-1093,Corona Hard Seltzer,Corona Hard Seltzer Cherry,Hard Seltzer,4.70,12oz Can,24,1.49,2024-07-18
SELT-1094,Corona Hard Seltzer,Corona Hard Seltzer Blackberry Lime,Hard Seltzer,5.00,12oz Can,6,1.63,2024-08-07
SELT-1095,Vizzy,Vizzy Black Cherry Lime,Hard Seltzer,4.80,12oz Can,6,1.48,2024-11-28
SELT-1096,Vizzy,Vizzy Strawberry Kiwi,Hard Seltzer,4.60,12oz Can,24,1.56,2024-10-17
SELT-1097,Vizzy,Vizzy Pineapple Mango,Hard Seltzer,4.60,12oz Can,12,1.58,2024-09-08
SELT-1098,Vizzy,Vizzy Blueberry Pomegranate,Hard Seltzer,4.60,12oz Can,6,1.56,2023-07-22
SELT-1099,Bon & Viv,Bon & Viv Grapefruit,Hard Seltzer,4.80,12oz Can,4,1.33,2024-09-29
SELT-1100,Bon & Viv,Bon & Viv Black Cherry,Hard Seltzer,4.80,12oz Can,4,1.22,2023-09-20
SELT-1101,Bon & Viv,Bon & Viv Cranberry,Hard Seltzer,4.70,12oz Can,24,1.32,2023-11-21
SELT-1102,Bon & Viv,Bon & Viv Clementine Hibiscus,Hard Seltzer,4.50,12oz Can,12,1.59,2023-09-22
SELT-1103,Smirnoff Seltzer,"Smirnoff Seltzer Red, White & Berry",Hard Seltzer,4.80,12oz Can,6,1.18,2023-09-15
SELT-1104,Smirnoff Seltzer,Smirnoff Seltzer Pink Apple Rose,Hard Seltzer,5.00,16oz Can,24,1.38,2024-09-28
SELT-1105,Smirnoff Seltzer,Smirnoff Seltzer Orange Mango,Hard Seltzer,4.60,12oz Can,6,1.23,2023-06-30
SELT-1106,Smirnoff Seltzer,Smirnoff Seltzer Cranberry Lime,Hard Seltzer,4.80,12oz Can,24,1.42,2023-08-19
SELT-1107,High Noon,High Noon Peach,Hard Seltzer,4.60,16oz Can,12,1.57,2024-09-17
SELT-1108,High Noon,High Noon Pineapple,Hard Seltzer,4.90,12oz Can,12,1.58,2024-09-20
SELT-1109,High Noon,High Noon Watermelon,Hard Seltzer,4.80,12oz Can,6,1.23,2024-10-29
SELT-1110,High Noon,High Noon Black Cherry,Hard Seltzer,5.00,12oz Can,4,1.60,2023-08-02
SELT-1111,High Noon,High Noon Grapefruit,Hard Seltzer,4.70,12oz Can,12,1.43,2024-06-11
SELT-1112,Topo Chico,Topo Chico Tangy Lemon Lime,Hard Seltzer,4.60,12oz Can,4,1.29,2023-10-02
SELT-1113,Topo Chico,Topo Chico Exotic Pineapple,Hard Seltzer,4.70,12oz Can,4,1.49,2023-09-09
SELT-1114,Topo Chico,Topo Chico Strawberry Guava,Hard Seltzer,5.00,12oz Can,6,1.36,2023-11-30
SELT-1115,Topo Chico,Topo Chico Tropical Mango,Hard Seltzer,4.50,12oz Can,24,1.31,2024-03-05
SELT-1116,Michelob Ultra,Michelob Ultra Lime Cactus,Hard Seltzer,4.80,12oz Can,12,1.49,2024-09-09
SELT-1117,Michelob Ultra,Michelob Ultra Spicy Pineapple,Hard Seltzer,4.70,12oz Can,4,1.24,2023-10-25
SELT-1118,Michelob Ultra,Michelob Ultra Cucumber Lime,Hard Seltzer,4.80,12oz Can,6,1.28,2024-04-30
SELT-1119,Michelob Ultra,Michelob Ultra Peach Pear,Hard Seltzer,4.70,12oz Can,4,1.34,2024-03-23
