Retailer_ID,Chain_Name,Store_Type,Region,State,City,Warehouse_ID,Store_Size,Urban_Rural,Location_Type,Market_Tier,Alcohol_License
RTL-02027,Safeway,Grocery,Northeast,NH,Manchester,WH-1004,Small,Suburban,Retail,Tier 3,True
RTL-02028,ABC Fine Wine,Liquor,Northeast,NH,Manchester,WH-1007,Medium,Suburban,Retail,Tier 2,True
RTL-02029,Kroger,Grocery,Northeast,NH,Manchester,WH-1005,Large,Rural,Retail,Tier 3,True
RTL-02030,Food Lion,Grocery,Northeast,NH,Manchester,WH-1003,Large,Urban,Retail,Tier 3,True
RTL-02031,Food Lion,Grocery,Northeast,NH,Manchester,WH-1008,Medium,Suburban,Retail,Tier 3,True
RTL-02032,Harris Teeter,Grocery,Northeast,VT,Burlington,WH-1005,Small,Urban,Retail,Tier 1,True
RTL-02033,Wegmans,Grocery,Northeast,VT,Burlington,WH-1003,Medium,Suburban,Retail,Tier 2,True
RTL-02034,BJ's Wholesale,Big Box,Northeast,VT,Burlington,WH-1002,Medium,Suburban,Retail,Tier 3,True
RTL-02035,Costco,Big Box,Northeast,VT,Burlington,WH-1005,Medium,Suburban,Retail,Tier 1,True
RTL-02036,Cumberland Farms,Convenience,Northeast,VT,Burlington,WH-1001,Large,Urban,Retail,Tier 1,False
RTL-02037,Speedway,Convenience,Northeast,VT,Burlington,WH-1008,Medium,Urban,Retail,Tier 2,True
RTL-02038,Phillips 66,Gas Station,Northeast,VT,Burlington,WH-1003,Medium,Urban,Retail,Tier 2,False
RTL-02039,Spec's,Liquor,Northeast,VT,Burlington,WH-1001,Medium,Rural,Retail,Tier 2,True
RTL-02040,Party City Liquor,Liquor,Northeast,VT,Burlington,WH-1001,Medium,Urban,Retail,Tier 1,True
RTL-02041,Sheetz,Convenience,Northeast,VT,Burlington,WH-1006,Large,Suburban,Retail,Tier 2,True
RTL-02042,Party City Liquor,Liquor,Northeast,VT,Burlington,WH-1006,Medium,Urban,Retail,Tier 2,True
RTL-02043,Sam's Club,Big Box,Northeast,VT,Burlington,WH-1008,Medium,Suburban,Retail,Tier 2,False
RTL-02044,Sam's Club,Big Box,Northeast,VT,Burlington,WH-1004,Large,Urban,Retail,Tier 1,True
RTL-02045,Sheetz,Convenience,Northeast,VT,Burlington,WH-1004,Large,Suburban,Retail,Tier 3,True
RTL-02046,Party City Liquor,Liquor,Northeast,VT,Burlington,WH-1002,Medium,Urban,Retail,Tier 3,True
RTL-02047,Target,Big Box,Northeast,VT,Burlington,WH-1006,Medium,Rural,Retail,Tier 3,False
RTL-02048,Safeway,Grocery,Northeast,VT,Burlington,WH-1001,Small,Suburban,Retail,Tier 2,True
RTL-02049,Sheetz,Convenience,Northeast,VT,Burlington,WH-1008,Medium,Rural,Retail,Tier 2,False
RTL-02050,Royal Farms,Convenience,Northeast,VT,Burlington,WH-1001,Medium,Suburban,Retail,Tier 3,True
RTL-02051,BJ's Wholesale,Big Box,Northeast,VT,Burlington,WH-1006,Large,Rural,Retail,Tier 2,False
RTL-02052,BJ's Wholesale,Big Box,Northeast,VT,Burlington,WH-1005,Small,Urban,Retail,Tier 2,True
RTL-02053,Total Wine,Liquor,Northeast,VT,Burlington,WH-1007,Medium,Urban,Retail,Tier 2,True
RTL-02054,Cumberland Farms,Convenience,Northeast,VT,Burlington,WH-1005,Medium,Suburban,Retail,Tier 2,True
RTL-02055,Harris Teeter,Grocery,Northeast,VT,Burlington,WH-1003,Medium,Suburban,Retail,Tier 3,True
RTL-02056,BP,Gas Station,Northeast,VT,Burlington,WH-1007,Medium,Suburban,Retail,Tier 3,True
RTL-02057,Costco,Big Box,Northeast,MA,Boston,WH-1003,Medium,Urban,Retail,Tier 2,True
RTL-02058,Stop & Shop,Grocery,Northeast,MA,Boston,WH-1004,Medium,Rural,Retail,Tier 2,True
RTL-02059,Costco,Big Box,Northeast,MA,Boston,WH-1006,Small,Urban,Retail,Tier 1,False
RTL-02060,7-Eleven,Convenience,Northeast,MA,Boston,WH-1004,Medium,Suburban,Retail,Tier 3,False
RTL-02061,Fine Wine & Good Spirits,Liquor,Northeast,MA,Boston,WH-1005,Small,Urban,Retail,Tier 2,True
RTL-02062,Smith's,Grocery,Northeast,MA,Boston,WH-1007,Medium,Suburban,Retail,Tier 2,True
RTL-02063,Smith's,Grocery,Northeast,MA,Boston,WH-1005,Medium,Urban,Retail,Tier 1,True
RTL-02064,ABC Fine Wine,Liquor,Northeast,MA,Boston,WH-1002,Small,Suburban,Retail,Tier 1,True
RTL-02065,QuikTrip,Convenience,Northeast,MA,Boston,WH-1004,Medium,Suburban,Retail,Tier 3,True
RTL-02066,Binny's,Liquor,Northeast,MA,Boston,WH-1001,Medium,Urban,Retail,Tier 2,True
RTL-02067,BevMo!,Liquor,Northeast,MA,Boston,WH-1002,Large,Suburban,Retail,Tier 3,True
RTL-02068,Fine Wine & Good Spirits,Liquor,Northeast,MA,Boston,WH-1004,Large,Rural,Retail,Tier 2,True
RTL-02069,Walmart,Big Box,Northeast,MA,Boston,WH-1007,Small,Urban,Retail,Tier 3,True
RTL-02070,Speedway,Convenience,Northeast,MA,Boston,WH-1006,Medium,Suburban,Retail,Tier 2,False
RTL-02071,Binny's,Liquor,Northeast,MA,Boston,WH-1007,Large,Suburban,Retail,Tier 3,True
RTL-02072,Valero,Gas Station,Northeast,MA,Boston,WH-1006,Large,Urban,Retail,Tier 3,True
RTL-02073,Casey's,Convenience,Northeast,MA,Boston,WH-1006,Small,Rural,Retail,Tier 2,True
RTL-02074,Stop & Shop,Grocery,Northeast,MA,Boston,WH-1001,Small,Urban,Retail,Tier 2,True
RTL-02075,H-E-B,Grocery,Northeast,MA,Boston,WH-1005,Medium,Rural,Retail,Tier 2,True
RTL-02076,Binny's,Liquor,Northeast,MA,Boston,WH-1003,Small,Urban,Retail,Tier 1,True
RTL-02077,Sheetz,Convenience,Northeast,MA,Boston,WH-1005,Medium,Suburban,Retail,Tier 3,True
RTL-02078,BJ's Wholesale,Big Box,Northeast,MA,Boston,WH-1004,Small,Rural,Retail,Tier 3,True
RTL-02079,Total Wine,Liquor,Northeast,MA,Boston,WH-1002,Medium,Rural,Retail,Tier 3,True
RTL-02080,Walmart,Big Box,Northeast,RI,Providence,WH-1002,Small,Urban,Retail,Tier 2,False
RTL-02081,Cumberland Farms,Convenience,Northeast,RI,Providence,WH-1007,Small,Suburban,Retail,Tier 3,True
RTL-02082,Target,Big Box,Northeast,RI,Providence,WH-1002,Large,Suburban,Retail,Tier 1,True
RTL-02083,QuikTrip,Convenience,Northeast,RI,Providence,WH-1002,Medium,Suburban,Retail,Tier 2,True
RTL-02084,Target,Big Box,Northeast,RI,Providence,WH-1001,Medium,Suburban,Retail,Tier 3,True
RTL-02085,Casey's,Convenience,Northeast,RI,Providence,WH-1002,Small,Urban,Retail,Tier 1,True
RTL-02086,Ralphs,Grocery,Northeast,RI,Providence,WH-1008,Small,Suburban,Retail,Tier 3,True
RTL-02087,Target,Big Box,Northeast,RI,Providence,WH-1005,Large,Suburban,Retail,Tier 2,True
RTL-02088,Party City Liquor,Liquor,Northeast,RI,Providence,WH-1008,Medium,Rural,Retail,Tier 3,True
RTL-02089,Wegmans,Grocery,Northeast,RI,Providence,WH-1004,Large,Urban,Retail,Tier 2,True
RTL-02090,ABC Fine Wine,Liquor,Northeast,RI,Providence,WH-1008,Large,Suburban,Retail,Tier 2,True
RTL-02091,QuikTrip,Convenience,Northeast,RI,Providence,WH-1002,Medium,Rural,Retail,Tier 2,True
RTL-02092,Food Lion,Grocery,Northeast,RI,Providence,WH-1001,Small,Suburban,Retail,Tier 3,True
RTL-02093,H-E-B,Grocery,Northeast,RI,Providence,WH-1003,Large,Rural,Retail,Tier 2,True
RTL-02094,Harris Teeter,Grocery,Northeast,RI,Providence,WH-1002,Medium,Urban,Retail,Tier 1,True
RTL-02095,Walmart,Big Box,Northeast,RI,Providence,WH-1001,Large,Suburban,Retail,Tier 3,True
RTL-02096,Costco,Big Box,Northeast,RI,Providence,WH-1003,Small,Urban,Retail,Tier 1,True
RTL-02097,Sunoco,Gas Station,Northeast,RI,Providence,WH-1002,Small,Urban,Retail,Tier 3,True
RTL-02098,Total Wine,Liquor,Northeast,RI,Providence,WH-1005,Large,Suburban,Retail,Tier 3,True
RTL-02099,Speedway,Convenience,Northeast,RI,Providence,WH-1003,Large,Suburban,Retail,Tier 2,True
RTL-02100,QuikTrip,Convenience,Northeast,CT,Hartford,WH-1008,Large,Urban,Retail,Tier 2,True
RTL-02101,Costco,Big Box,Northeast,CT,Hartford,WH-1002,Small,Suburban,Retail,Tier 3,True
RTL-02102,Stop & Shop,Grocery,Northeast,CT,Hartford,WH-1001,Small,Suburban,Retail,Tier 2,True
RTL-02103,Mobil,Gas Station,Northeast,CT,Hartford,WH-1007,Small,Rural,Retail,Tier 2,True
RTL-02104,Phillips 66,Gas Station,Northeast,CT,Hartford,WH-1005,Medium,Rural,Retail,Tier 2,True
RTL-02105,BevMo!,Liquor,Northeast,CT,Hartford,WH-1003,Large,Urban,Retail,Tier 1,True
RTL-02106,Wawa,Convenience,Northeast,CT,Hartford,WH-1004,Small,Urban,Retail,Tier 1,False
RTL-02107,Speedway,Convenience,Northeast,CT,Hartford,WH-1002,Large,Urban,Retail,Tier 2,True
RTL-02108,Kroger,Grocery,Northeast,CT,Hartford,WH-1004,Large,Urban,Retail,Tier 1,True
RTL-02109,Royal Farms,Convenience,Northeast,CT,Hartford,WH-1004,Small,Urban,Retail,Tier 2,True
RTL-02110,Party City Liquor,Liquor,Northeast,NY,Albany,WH-1007,Small,Urban,Retail,Tier 2,True
RTL-02111,Phillips 66,Gas Station,Northeast,NY,Yonkers,WH-1004,Small,Urban,Retail,Tier 2,True
RTL-02112,Fred Meyer,Grocery,Northeast,NY,New York,WH-1008,Large,Rural,Retail,Tier 3,False
RTL-02113,Total Wine,Liquor,Northeast,NY,New Rochelle,WH-1007,Medium,Suburban,Retail,Tier 3,True
RTL-02114,QFC,Grocery,Northeast,NY,Yonkers,WH-1008,Small,Urban,Retail,Tier 2,True
RTL-02115,Harris Teeter,Grocery,Northeast,NY,Mount Vernon,WH-1001,Large,Urban,Retail,Tier 2,True
RTL-02116,Harris Teeter,Grocery,Northeast,NY,Mount Vernon,WH-1004,Small,Rural,Retail,Tier 2,True
RTL-02117,ABC Fine Wine,Liquor,Northeast,NY,Rochester,WH-1006,Superstore,Rural,Retail,Tier 3,True
RTL-02118,Circle K,Convenience,Northeast,NY,New York,WH-1007,Superstore,Urban,Retail,Tier 1,False
RTL-02119,Sunoco,Gas Station,Northeast,NY,Syracuse,WH-1003,Medium,Urban,Retail,Tier 2,True
RTL-02120,King Soopers,Grocery,Northeast,NY,New York,WH-1001,Superstore,Suburban,Retail,Tier 3,True
RTL-02121,Party City Liquor,Liquor,Northeast,NY,New Rochelle,WH-1007,Large,Rural,Retail,Tier 1,True
RTL-02122,Citgo,Gas Station,Northeast,NY,Albany,WH-1002,Medium,Rural,Retail,Tier 2,True
RTL-02123,ABC Fine Wine,Liquor,Northeast,NY,Yonkers,WH-1005,Small,Suburban,Retail,Tier 3,True
RTL-02124,Casey's,Convenience,Northeast,NY,Buffalo,WH-1003,Large,Urban,Retail,Tier 2,True
RTL-02125,Harris Teeter,Grocery,Northeast,NY,Albany,WH-1001,Large,Urban,Retail,Tier 2,True
RTL-02126,Harris Teeter,Grocery,Northeast,NY,Syracuse,WH-1003,Small,Suburban,Retail,Tier 3,True
RTL-02127,Costco,Big Box,Northeast,NY,Syracuse,WH-1008,Medium,Urban,Retail,Tier 1,False
RTL-02128,QFC,Grocery,Northeast,NY,Rochester,WH-1005,Superstore,Urban,Retail,Tier 1,True
RTL-02129,Party City Liquor,Liquor,Northeast,NY,Syracuse,WH-1003,Large,Urban,Retail,Tier 2,True
RTL-02130,7-Eleven,Convenience,Northeast,NY,Yonkers,WH-1008,Large,Suburban,Retail,Tier 2,True
RTL-02131,ABC Fine Wine,Liquor,Northeast,NY,Mount Vernon,WH-1001,Medium,Urban,Retail,Tier 2,True
RTL-02132,Chevron,Gas Station,Northeast,NY,New Rochelle,WH-1003,Large,Urban,Retail,Tier 1,True
RTL-02133,BevMo!,Liquor,Northeast,NY,New York,WH-1003,Large,Urban,Retail,Tier 2,True
RTL-02134,Spec's,Liquor,Northeast,NY,Yonkers,WH-1007,Small,Suburban,Retail,Tier 3,True
RTL-02135,Spec's,Liquor,Northeast,NY,Rochester,WH-1007,Small,Urban,Retail,Tier 2,True
RTL-02136,Harris Teeter,Grocery,Northeast,NY,New York,WH-1008,Small,Suburban,Retail,Tier 3,True
RTL-02137,Wawa,Convenience,Northeast,NY,Mount Vernon,WH-1006,Small,Urban,Retail,Tier 2,False
RTL-02138,Target,Big Box,Northeast,NY,New Rochelle,WH-1004,Medium,Rural,Retail,Tier 2,True
RTL-02139,H-E-B,Grocery,Northeast,NY,Rochester,WH-1008,Large,Rural,Retail,Tier 1,True
RTL-02140,Fred Meyer,Grocery,Northeast,NY,Yonkers,WH-1001,Medium,Urban,Retail,Tier 1,True
RTL-02141,Circle K,Convenience,Northeast,NY,Buffalo,WH-1006,Superstore,Rural,Retail,Tier 2,True
RTL-02142,Wawa,Convenience,Northeast,NY,Rochester,WH-1005,Medium,Urban,Retail,Tier 2,True
RTL-02143,Fine Wine & Good Spirits,Liquor,Northeast,NY,New Rochelle,WH-1008,Large,Suburban,Retail,Tier 3,True
RTL-02144,Target,Big Box,Northeast,NY,Syracuse,WH-1004,Medium,Suburban,Retail,Tier 2,True
RTL-02145,Stop & Shop,Grocery,Northeast,NY,Syracuse,WH-1005,Small,Suburban,Retail,Tier 3,False
RTL-02146,Binny's,Liquor,Northeast,NY,Yonkers,WH-1003,Small,Rural,Retail,Tier 3,True
RTL-02147,Fred Meyer,Grocery,Northeast,NY,Syracuse,WH-1005,Large,Rural,Retail,Tier 2,True
RTL-02148,Exxon,Gas Station,Northeast,NY,New York,WH-1005,Superstore,Suburban,Retail,Tier 2,True
RTL-02149,Fine Wine & Good Spirits,Liquor,Northeast,NY,Buffalo,WH-1005,Small,Rural,Retail,Tier 2,True
RTL-02150,Circle K,Convenience,Northeast,NY,New Rochelle,WH-1004,Medium,Rural,Retail,Tier 3,True
RTL-02151,Kroger,Grocery,Northeast,NY,Syracuse,WH-1005,Small,Suburban,Retail,Tier 2,True
RTL-02152,RaceTrac,Convenience,Northeast,NY,Albany,WH-1005,Small,Urban,Retail,Tier 1,False
RTL-02153,Exxon,Gas Station,Northeast,NY,Rochester,WH-1006,Medium,Urban,Retail,Tier 2,False
RTL-02154,Sheetz,Convenience,Northeast,NY,Rochester,WH-1001,Small,Suburban,Retail,Tier 2,False
RTL-02155,Giant Eagle,Grocery,Northeast,NY,Syracuse,WH-1005,Medium,Suburban,Retail,Tier 3,True
RTL-02156,Shell,Gas Station,Northeast,NY,Mount Vernon,WH-1005,Small,Urban,Retail,Tier 2,True
RTL-02157,Costco,Big Box,Northeast,NY,Syracuse,WH-1001,Large,Suburban,Retail,Tier 3,True
RTL-02158,Giant Eagle,Grocery,Northeast,NY,Albany,WH-1008,Small,Urban,Retail,Tier 1,True
RTL-02159,QuikTrip,Convenience,Northeast,NY,Yonkers,WH-1004,Large,Suburban,Retail,Tier 3,True
RTL-02160,Fred Meyer,Grocery,Northeast,NY,New York,WH-1002,Medium,Rural,Retail,Tier 3,True
RTL-02161,QFC,Grocery,Northeast,NY,Rochester,WH-1002,Medium,Urban,Retail,Tier 1,True
RTL-02162,Royal Farms,Convenience,Northeast,NY,Buffalo,WH-1007,Small,Urban,Retail,Tier 1,True
RTL-02163,Ralphs,Grocery,Northeast,NY,Syracuse,WH-1003,Large,Suburban,Retail,Tier 2,True
RTL-02164,Cumberland Farms,Convenience,Northeast,NY,Buffalo,WH-1004,Large,Suburban,Retail,Tier 3,True
RTL-02165,Party City Liquor,Liquor,Northeast,NY,New Rochelle,WH-1003,Medium,Suburban,Retail,Tier 3,True
RTL-02166,QuikTrip,Convenience,Northeast,NY,Buffalo,WH-1006,Medium,Suburban,Retail,Tier 3,False
RTL-02167,Royal Farms,Convenience,Northeast,NY,Yonkers,WH-1003,Large,Suburban,Retail,Tier 3,False
RTL-02168,Cumberland Farms,Convenience,Northeast,NY,Syracuse,WH-1003,Small,Rural,Retail,Tier 1,True
RTL-02169,Food Lion,Grocery,Northeast,NY,Syracuse,WH-1007,Medium,Urban,Retail,Tier 1,True
RTL-02170,Giant Eagle,Grocery,Northeast,NY,Buffalo,WH-1003,Small,Rural,Retail,Tier 3,True
RTL-02171,Exxon,Gas Station,Northeast,NY,Rochester,WH-1002,Medium,Urban,Retail,Tier 2,False
RTL-02172,Walmart,Big Box,Northeast,NY,New Rochelle,WH-1004,Small,Rural,Retail,Tier 2,False
RTL-02173,Sam's Club,Big Box,Northeast,NY,Syracuse,WH-1004,Large,Suburban,Retail,Tier 3,True
RTL-02174,Circle K,Convenience,Northeast,NY,New York,WH-1003,Medium,Suburban,Retail,Tier 3,True
RTL-02175,Sheetz,Convenience,Northeast,NY,Buffalo,WH-1007,Large,Suburban,Retail,Tier 3,True
RTL-02176,Publix,Grocery,Northeast,NY,Buffalo,WH-1006,Medium,Urban,Retail,Tier 3,True
RTL-02177,BJ's Wholesale,Big Box,Northeast,NY,New Rochelle,WH-1001,Small,Suburban,Retail,Tier 3,True
RTL-02178,Phillips 66,Gas Station,Northeast,NY,Buffalo,WH-1004,Medium,Suburban,Retail,Tier 2,True
RTL-02179,BJ's Wholesale,Big Box,Northeast,NY,New York,WH-1006,Small,Suburban,Retail,Tier 3,True
RTL-02180,RaceTrac,Convenience,Northeast,NY,New York,WH-1004,Medium,Urban,Retail,Tier 1,True
RTL-02181,Walmart,Big Box,Northeast,NY,Rochester,WH-1002,Large,Urban,Retail,Tier 3,True
RTL-02182,Speedway,Convenience,Northeast,NY,Rochester,WH-1005,Small,Urban,Retail,Tier 2,False
RTL-02183,Party City Liquor,Liquor,Northeast,NY,Yonkers,WH-1008,Medium,Urban,Retail,Tier 2,True
RTL-02184,Total Wine,Liquor,Northeast,NY,Syracuse,WH-1004,Medium,Rural,Retail,Tier 2,True
RTL-02185,Giant Eagle,Grocery,Northeast,NJ,Newark,WH-1004,Medium,Suburban,Retail,Tier 1,True
RTL-02186,Sam's Club,Big Box,Northeast,NJ,Newark,WH-1005,Large,Suburban,Retail,Tier 2,True
RTL-02187,Sam's Club,Big Box,Northeast,NJ,Newark,WH-1003,Small,Urban,Retail,Tier 3,False
RTL-02188,Fry's,Grocery,Northeast,NJ,Newark,WH-1005,Large,Urban,Retail,Tier 3,True
RTL-02189,Giant Eagle,Grocery,Northeast,NJ,Newark,WH-1005,Large,Urban,Retail,Tier 2,True
RTL-02190,Royal Farms,Convenience,Northeast,NJ,Newark,WH-1004,Superstore,Rural,Retail,Tier 3,True
RTL-02191,Safeway,Grocery,Northeast,NJ,Newark,WH-1001,Medium,Rural,Retail,Tier 3,True
RTL-02192,Costco,Big Box,Northeast,NJ,Newark,WH-1002,Medium,Suburban,Retail,Tier 3,True
RTL-02193,Smith's,Grocery,Northeast,NJ,Newark,WH-1005,Small,Rural,Retail,Tier 1,True
