Store_Region,Year,Month,Year_Month,Product_Category,Regional_Monthly_Revenue,Regional_Monthly_Units,Regional_Monthly_Transactions,Previous_Month_Revenue,Regional_MoM_Growth
SOUTHWEST,2023,10,2023-10,HARD SELTZER,1504.7899999999995,1012,645,1645.39,-8.545086575219283
SOUTHWEST,2023,11,2023-11,BEER,59952.0599999999,58091,3961,47593.44999999998,25.967039582127217
SOUTHWEST,2023,11,2023-11,HARD SELTZER,2001.9299999999987,1333,723,1504.7899999999995,33.037167976926966
SOUTHWEST,2023,12,2023-12,BEER,64870.080000000155,62880,4170,59952.0599999999,8.203254400266244
SOUTHWEST,2023,12,2023-12,HARD SELTZER,2599.1100000000006,1723,797,2001.9299999999987,29.830213843641
WEST,2023,1,2023-01,BEER,85000.67000000027,73660,12143,,0.0
WEST,2023,1,2023-01,HARD SELTZER,1126.4300000000003,588,568,,0.0
WEST,2023,2,2023-02,BEER,85802.7600000003,74116,10605,85000.67000000027,0.9436278561098672
WEST,2023,2,2023-02,HARD SELTZER,1327.3899999999994,686,651,1126.4300000000003,17.840433937306273
WEST,2023,3,2023-03,BEER,108726.80000000019,93680,11815,85802.7600000003,26.7171359056513
WEST,2023,3,2023-03,HARD SELTZER,1971.5899999999995,1023,886,1327.3899999999994,48.53132839632665
WEST,2023,4,2023-04,BEER,125330.39999999994,108165,11577,108726.80000000019,15.27093596059087
WEST,2023,4,2023-04,HARD SELTZER,2116.9,1119,885,1971.5899999999995,7.370193600089301
WEST,2023,5,2023-05,BEER,170549.7800000007,142342,12773,125330.39999999994,36.08013698192999
WEST,2023,5,2023-05,HARD SELTZER,3931.3400000000042,2031,1238,2116.9,85.7121262223064
WEST,2023,6,2023-06,BEER,224490.9500000004,187562,13451,170549.7800000007,31.627815644206326
WEST,2023,6,2023-06,HARD SELTZER,6424.120000000004,3337,1449,3931.3400000000042,63.4078965441808
WEST,2023,7,2023-07,BEER,235280.22,196143,13934,224490.9500000004,4.806104655889064
WEST,2023,7,2023-07,HARD SELTZER,8385.599999999999,4819,1701,6424.120000000004,30.53305355441668
WEST,2023,8,2023-08,BEER,193354.39000000013,160364,12516,235280.22,-17.819530260554785
WEST,2023,8,2023-08,HARD SELTZER,9923.680000000002,5642,1950,8385.599999999999,18.341919481015122
WEST,2023,9,2023-09,BEER,143752.11999999968,123189,11265,193354.39000000013,-25.65355252601217
WEST,2023,9,2023-09,HARD SELTZER,8528.479999999996,4997,2073,9923.680000000002,-14.059300582042205
WEST,2023,10,2023-10,BEER,101500.37999999993,86585,10222,143752.11999999968,-29.39208131330504
WEST,2023,10,2023-10,HARD SELTZER,8305.570000000018,4779,2338,8528.479999999996,-2.6137131118320984
WEST,2023,11,2023-11,BEER,122614.36999999991,102595,9752,101500.37999999993,20.801882712163238
WEST,2023,11,2023-11,HARD SELTZER,11297.189999999997,6582,2537,8305.570000000018,36.019442374213604
WEST,2023,12,2023-12,BEER,124423.16000000054,103961,9931,122614.36999999991,1.4751859835031043
WEST,2023,12,2023-12,HARD SELTZER,14659.500000000013,8373,2927,11297.189999999997,29.76235683386769
