Year,Week_of_Year,Product_Category,Weekly_Revenue,Weekly_Units,Weekly_Transactions,Avg_Weekly_Transaction,Week_Start_Date,Week_End_Date,Year_Week,Total_Weekly_Revenue,Market_Share_Revenue
2023,43,HARD SELTZER,6286.420000000004,3971,2368,2.654738175675677,2023-10-23,2023-10-29,2023-W43,155639.77000000016,4.039083326838633
2023,44,BEER,184207.74000000092,175745,13320,13.829409909909979,2023-10-30,2023-11-05,2023-W44,192193.90000000093,95.84473804839801
2023,44,HARD SELTZER,7986.160000000001,4965,2429,3.287838616714698,2023-10-30,2023-11-05,2023-W44,192193.90000000093,4.155261951601982
2023,45,BEER,202323.47000000018,191390,13307,15.204288720222452,2023-11-06,2023-11-12,2023-W45,210541.8400000002,96.09656208951152
2023,45,HARD SELTZER,8218.370000000012,5134,2506,3.279477254588991,2023-11-06,2023-11-12,2023-W45,210541.8400000002,3.903437910488482
2023,46,BEER,190515.5399999999,180224,12945,14.717307068366155,2023-11-13,2023-11-19,2023-W46,199736.55999999988,95.38340902636953
2023,46,HARD SELTZER,9221.019999999988,5766,2739,3.366564439576483,2023-11-13,2023-11-19,2023-W46,199736.55999999988,4.616590973630463
2023,47,BEER,199921.9100000006,188508,13546,14.758741325852693,2023-11-20,2023-11-26,2023-W47,209606.69000000058,95.37954633031991
2023,47,HARD SELTZER,9684.78,6055,2823,3.4306695005313497,2023-11-20,2023-11-26,2023-W47,209606.69000000058,4.620453669680091
2023,48,BEER,186879.39000000042,176576,13078,14.289600091757181,2023-11-27,2023-12-03,2023-W48,195783.3200000004,95.45215087781739
2023,48,HARD SELTZER,8903.929999999997,5585,2706,3.2904397634885427,2023-11-27,2023-12-03,2023-W48,195783.3200000004,4.547849122182614
2023,49,BEER,178880.9200000003,168537,12839,13.932620920632472,2023-12-04,2023-12-10,2023-W49,189083.15000000029,94.60436850137097
2023,49,HARD SELTZER,10202.22999999997,6376,2916,3.498707133058975,2023-12-04,2023-12-10,2023-W49,189083.15000000029,5.395631498629019
2023,50,BEER,189166.44000000093,179071,12912,14.65043680297405,2023-12-11,2023-12-17,2023-W50,199275.8800000009,94.92691237895929
2023,50,HARD SELTZER,10109.43999999998,6252,2832,3.569717514124287,2023-12-11,2023-12-17,2023-W50,199275.8800000009,5.073087621040708
2023,51,BEER,199637.61999999938,189052,13427,14.86837119237353,2023-12-18,2023-12-24,2023-W51,211412.66999999937,94.43030070052092
2023,51,HARD SELTZER,11775.049999999981,7243,3218,3.6591205717837108,2023-12-18,2023-12-24,2023-W51,211412.66999999937,5.569699299479079
2023,52,BEER,229798.84999999966,217612,16445,13.973782304651849,2023-01-01,2023-12-31,2023-W52,242162.14999999967,94.89461916323421
2023,52,HARD SELTZER,12363.300000000023,7652,3235,3.8217310664605946,2023-01-01,2023-12-31,2023-W52,242162.14999999967,5.105380836765796
