Store_State,Store_Region,Product_Category,State_Revenue,State_Units,State_Stores,State_Cities,Avg_State_Transaction,State_Total_Revenue,State_Category_Share
MA,NORTHEAST,BEER,211347.47000000003,170484,20,1,14.839732481393066,217437.71000000002,97.19908749958782
MA,NORTHEAST,HARD SELTZER,6090.24,3286,20,1,3.718095238095238,217437.71000000002,2.8009125004121866
MD,SOUTHEAST,BEER,299462.62999999983,315630,30,5,14.544787507892556,305301.3599999998,98.08755191919224
MD,SOUTHEAST,HARD SELTZER,5838.730000000001,4097,30,5,2.632430117222724,305301.3599999998,1.9124480808077648
ME,NORTHEAST,BEER,63171.539999999986,50694,7,1,12.852805696846385,65123.54999999999,97.00260504840415
ME,NORTHEAST,HARD SELTZER,1952.0099999999998,1060,7,1,3.5362499999999994,65123.54999999999,2.9973949515958513
MI,MIDWEST,BEER,516999.5600000004,542683,51,6,14.768462307538504,523404.8200000004,98.77623213328451
MI,MIDWEST,HARD SELTZER,6405.259999999998,4472,51,6,2.0870837406321274,523404.8200000004,1.2237678667154792
MN,MIDWEST,BEER,175038.06,177563,10,1,18.403749342866156,176820.54,98.99192706910634
MN,MIDWEST,HARD SELTZER,1782.4799999999998,1204,10,1,2.2197758405977583,176820.54,1.0080729308936618
MO,MIDWEST,BEER,246436.33000000005,265129,24,2,14.619228213798424,249321.07000000004,98.84296180824188
MO,MIDWEST,HARD SELTZER,2884.74,2044,24,2,2.1273893805309734,249321.07000000004,1.1570381917581212
MS,SOUTHEAST,BEER,198032.14999999997,197098,20,5,13.805922336865587,202274.04999999996,97.90289461253187
MS,SOUTHEAST,HARD SELTZER,4241.9,2810,20,5,2.703569152326322,202274.04999999996,2.0971053874681407
MT,WEST,BEER,117023.27999999997,99593,19,5,11.1249434356878,122324.07999999997,95.6665932006192
MT,WEST,HARD SELTZER,5300.799999999997,3008,19,5,3.7198596491228053,122324.07999999997,4.333406799380792
NC,SOUTHEAST,BEER,337860.7900000001,338452,39,7,13.62067284821609,344813.3000000001,97.9836885642172
NC,SOUTHEAST,HARD SELTZER,6952.51,4560,39,7,2.601987275449102,344813.3000000001,2.016311435782784
ND,MIDWEST,BEER,101305.75000000003,112641,11,5,14.240335957267364,102473.89000000003,98.86006084086395
ND,MIDWEST,HARD SELTZER,1168.1399999999999,864,11,5,1.953411371237458,102473.89000000003,1.1399391591360486
NE,MIDWEST,BEER,232345.96999999986,230210,18,1,16.67714398507033,234858.65999999986,98.93012674090876
NE,MIDWEST,HARD SELTZER,2512.69,1678,18,1,2.278050770625567,234858.65999999986,1.0698732590912345
NH,NORTHEAST,BEER,122156.25,100694,19,1,11.726624748008064,126057.36,96.90528978236574
NH,NORTHEAST,HARD SELTZER,3901.1100000000006,2136,19,1,3.3257544757033255,126057.36,3.0947102176342582
NJ,NORTHEAST,BEER,335352.39000000013,284230,26,1,15.689734724431558,345036.2500000001,97.19337895655892
NJ,NORTHEAST,HARD SELTZER,9683.859999999999,5495,26,1,3.9205910931174084,345036.2500000001,2.806621043441086
NM,WEST,BEER,32299.78,26254,8,1,9.090847171404446,33855.59,95.40456982140911
NM,WEST,HARD SELTZER,1555.8099999999997,835,8,1,3.080811881188118,33855.59,4.595430178590891
NV,WEST,BEER,217956.86999999988,177134,14,1,15.681478523634786,227981.91999999987,95.60269954740271
NV,WEST,HARD SELTZER,10025.05,5460,14,1,5.254219077568134,227981.91999999987,4.397300452597296
NY,NORTHEAST,BEER,684774.0099999998,563796,62,8,15.054279464462368,705285.4799999997,97.09174928711137
NY,NORTHEAST,HARD SELTZER,20511.47,11196,62,8,3.799123911835525,705285.4799999997,2.908250712888632
OH,MIDWEST,BEER,516135.3699999997,543873,54,8,14.322770840270833,522599.9499999997,98.76299643733222
OH,MIDWEST,HARD SELTZER,6464.580000000002,4498,54,8,2.073309813983323,522599.9499999997,1.2370035626677738
OK,SOUTHWEST,BEER,141122.68000000002,143053,18,2,13.059659448454564,143908.53000000003,98.06415227783926
OK,SOUTHWEST,HARD SELTZER,2785.85,1870,18,2,2.625683317624882,143908.53000000003,1.935847722160736
OR,WEST,BEER,52575.21,43269,10,1,9.867719594594595,55018.76,95.5586967063598
OR,WEST,HARD SELTZER,2443.55,1349,10,1,3.412779329608939,55018.76,4.441303293640206
PA,NORTHEAST,BEER,534233.1,447895,66,7,13.413505573968061,550927.9199999999,96.96969069928423
PA,NORTHEAST,HARD SELTZER,16694.820000000003,9309,66,7,3.658737672583827,550927.9199999999,3.0303093007157824
RI,NORTHEAST,BEER,225935.17,196315,19,1,15.506875085792725,232559.36000000002,97.15161324833367
RI,NORTHEAST,HARD SELTZER,6624.1900000000005,3822,19,1,3.995289505428227,232559.36000000002,2.8483867516663275
SC,SOUTHEAST,BEER,206277.22000000006,202864,13,1,16.976151757057035,209901.52000000005,98.2733331326043
SC,SOUTHEAST,HARD SELTZER,3624.2999999999997,2391,13,1,3.0662436548223346,209901.52000000005,1.726666867395719
SD,MIDWEST,BEER,253070.22,252772,19,5,16.496331399517633,255975.09,98.86517473243197
SD,MIDWEST,HARD SELTZER,2904.87,1910,19,5,2.2259540229885055,255975.09,1.1348252675680277
TN,SOUTHEAST,BEER,261362.46000000008,260524,24,2,14.988957962952346,266208.7800000001,98.17950407195436
TN,SOUTHEAST,HARD SELTZER,4846.319999999998,3283,24,2,2.6295822029300044,266208.7800000001,1.8204959280456476
TX,SOUTHWEST,BEER,645603.9599999998,627325,58,14,14.47412698412698,657907.6099999999,98.12988179297697
TX,SOUTHWEST,HARD SELTZER,12303.649999999998,7975,58,14,2.8586547397769513,657907.6099999999,1.8701182070230198
UT,WEST,BEER,98928.31999999999,81234,7,1,15.496290726817042,102751.04,96.27962889718683
UT,WEST,HARD SELTZER,3822.7200000000003,2135,7,1,4.529289099526067,102751.04,3.720371102813169
VA,SOUTHEAST,BEER,149459.02999999994,157922,20,2,12.958126408878094,152403.36999999994,98.0680610933997
VA,SOUTHEAST,HARD SELTZER,2944.34,2069,20,2,2.4618227424749164,152403.36999999994,1.9319389066002945
VT,NORTHEAST,BEER,173063.49999999994,146211,19,1,13.614183448709875,178115.29999999993,97.16374730301102
VT,NORTHEAST,HARD SELTZER,5051.799999999999,2858,19,1,3.4295994568906987,178115.29999999993,2.8362526969889736
WA,WEST,BEER,202007.70999999988,172564,23,2,12.114405397301342,211271.41999999987,95.61525643175021
WA,WEST,HARD SELTZER,9263.71,5337,23,2,3.999874784110535,211271.41999999987,4.384743568249792
WI,MIDWEST,BEER,293124.66,296892,25,2,15.566896441848113,296517.23,98.85586075385906
WI,MIDWEST,HARD SELTZER,3392.5699999999997,2292,25,2,2.1831209781209777,296517.23,1.144139246140941
WV,SOUTHEAST,BEER,118675.26,120717,8,4,15.985352909482758,120999.15999999999,98.07940815456901
WV,SOUTHEAST,HARD SELTZER,2323.8999999999996,1573,8,4,2.844430844553243,120999.15999999999,1.920591845430993
WY,WEST,BEER,95328.99,76586,14,5,11.711178132678134,99642.0,95.67149394833504
WY,WEST,HARD SELTZER,4313.010000000001,2281,14,5,3.97879151291513,99642.0,4.328506051664962
